Row.names,satisfaction,Gender,Customer.Type,Age,Type.of.Travel,Class,Flight.Distance,Inflight.wifi.service,Departure.Arrival.time.convenient,Ease.of.Online.booking,Gate.location,Food.and.drink,Online.boarding,Seat.comfort,Inflight.entertainment,On.board.service,Leg.room.service,Baggage.handling,Checkin.service,Inflight.service,Cleanliness,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,cluster
8,1,1,disloyal Customer,18,Business travel,Eco,369,0,0,0,2,2,0,2,2,5,2,5,4,5,2,0,3,2
15,0,0,disloyal Customer,38,Business travel,Eco,289,3,1,3,4,5,3,5,5,4,1,3,1,3,5,0,0,2
16,0,0,disloyal Customer,35,Business travel,Eco,2442,3,3,3,1,3,1,4,2,3,3,2,4,5,4,0,6,3
22,0,1,disloyal Customer,35,Business travel,Eco,109,3,3,3,3,1,3,4,1,3,3,2,3,3,1,0,0,2
24,0,1,disloyal Customer,23,Business travel,Eco,460,3,0,3,5,3,3,3,3,4,4,5,3,5,3,10,0,2
31,1,0,disloyal Customer,23,Business travel,Eco,925,4,3,3,1,1,3,1,1,4,4,5,4,5,1,12,5,4
38,1,0,disloyal Customer,22,Business travel,Business,417,0,0,0,5,4,0,4,4,5,2,4,5,5,4,96,98,2
40,0,1,disloyal Customer,20,Business travel,Eco,853,2,2,2,3,3,2,3,3,5,5,4,5,4,3,0,0,4
44,0,1,disloyal Customer,25,Business travel,Business,624,2,4,2,1,5,2,5,5,4,2,5,3,5,5,12,18,4
45,0,1,disloyal Customer,23,Business travel,Eco,352,4,2,4,3,5,4,5,5,3,3,4,1,4,5,1,10,2
52,0,0,disloyal Customer,26,Business travel,Eco,695,3,3,3,4,2,3,2,2,1,2,4,3,4,2,0,9,4
53,0,0,disloyal Customer,50,Business travel,Eco Plus,107,2,2,2,4,3,2,4,3,4,2,1,5,1,3,0,0,2
55,1,1,disloyal Customer,41,Business travel,Business,374,4,4,4,3,3,4,3,3,4,5,4,3,5,3,31,31,2
60,1,0,disloyal Customer,23,Business travel,Business,1440,5,0,5,4,4,0,3,4,4,5,4,3,5,4,0,0,1
71,0,1,disloyal Customer,43,Business travel,Eco,567,1,0,1,4,5,1,5,5,4,2,2,3,5,5,0,1,4
75,0,0,disloyal Customer,40,Business travel,Business,696,3,3,3,4,5,3,5,5,1,1,3,3,3,5,0,13,4
82,0,0,disloyal Customer,23,Business travel,Eco,438,3,0,3,5,4,3,4,4,1,4,3,2,1,4,0,3,2
90,0,1,disloyal Customer,20,Business travel,Business,277,1,1,1,3,3,1,3,3,3,5,3,2,3,3,4,6,2
98,1,1,disloyal Customer,28,Business travel,Business,1258,4,5,5,3,2,5,2,2,3,5,5,3,4,2,0,0,1
103,0,0,disloyal Customer,35,Business travel,Eco Plus,978,2,2,2,1,2,2,2,2,3,4,3,5,3,2,0,0,1
104,0,0,disloyal Customer,39,Business travel,Business,227,3,3,3,3,5,3,5,5,3,4,5,4,4,5,0,0,2
110,1,0,disloyal Customer,19,Business travel,Eco,817,5,5,5,2,3,5,3,3,2,3,1,2,4,3,6,6,4
111,0,1,disloyal Customer,18,Business travel,Business,216,3,4,3,4,4,3,4,4,2,1,4,2,3,4,2,7,2
116,0,0,disloyal Customer,48,Business travel,Eco,853,3,3,3,3,5,3,5,5,3,3,3,3,4,5,13,24,4
119,1,1,disloyal Customer,26,Business travel,Business,2615,4,4,4,4,4,3,3,4,5,5,5,3,5,3,0,14,3
123,0,0,disloyal Customer,37,Business travel,Business,96,2,2,2,1,2,2,2,2,5,4,4,5,5,2,0,0,2
128,0,0,disloyal Customer,37,Business travel,Eco,446,2,1,2,4,1,2,1,1,1,3,3,3,4,1,48,33,2
129,0,0,disloyal Customer,21,Business travel,Eco,362,1,3,1,4,4,1,4,4,3,4,4,4,4,4,0,0,2
133,0,0,disloyal Customer,21,Business travel,Eco,605,3,3,3,3,3,3,3,3,4,3,3,2,4,3,73,66,4
134,0,0,disloyal Customer,25,Business travel,Eco,763,2,2,2,3,1,2,3,1,2,1,4,1,3,1,0,0,4
153,0,0,disloyal Customer,26,Business travel,Business,2583,1,3,1,4,3,1,2,3,1,1,2,1,4,3,0,1,3
161,1,0,disloyal Customer,14,Business travel,Eco,980,5,5,5,3,3,5,3,3,5,5,5,3,5,3,0,0,1
170,1,1,disloyal Customer,28,Business travel,Business,599,4,4,4,4,2,4,2,2,3,5,5,5,5,2,53,54,4
173,0,1,disloyal Customer,37,Business travel,Eco Plus,237,1,1,1,4,2,1,2,2,4,4,3,4,3,2,5,9,2
177,1,0,disloyal Customer,22,Business travel,Business,201,4,0,4,1,2,4,2,2,5,5,5,3,5,2,21,24,2
182,0,0,disloyal Customer,27,Business travel,Business,89,3,3,3,3,3,3,3,3,3,1,4,1,4,3,57,52,2
184,0,0,disloyal Customer,44,Business travel,Business,406,2,2,2,3,3,2,3,3,5,5,5,3,4,3,14,5,2
190,0,0,disloyal Customer,24,Business travel,Eco,238,4,2,4,3,4,4,1,4,2,3,3,1,4,4,85,76,2
200,0,0,disloyal Customer,29,Business travel,Eco,867,3,3,3,1,4,3,4,4,3,1,3,4,2,4,0,0,4
202,0,0,disloyal Customer,37,Business travel,Eco,152,4,4,4,5,4,4,4,4,4,3,5,5,1,4,0,0,2
209,1,1,disloyal Customer,21,Business travel,Eco,377,5,0,5,1,4,5,4,4,1,1,5,5,2,4,0,4,2
