"","Gender","Age","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Travel.Busi","Travel.Pers","ClassBusi","ClassEco","ClassEcoPlus","cluster"
"8",1,18,369,0,0,0,2,2,0,2,2,5,2,5,4,5,2,0,3,1,0,0,1,0,2
"15",0,38,289,3,1,3,4,5,3,5,5,4,1,3,1,3,5,0,0,1,0,0,1,0,2
"16",0,35,2442,3,3,3,1,3,1,4,2,3,3,2,4,5,4,0,6,1,0,0,1,0,3
"22",1,35,109,3,3,3,3,1,3,4,1,3,3,2,3,3,1,0,0,1,0,0,1,0,2
"24",1,23,460,3,0,3,5,3,3,3,3,4,4,5,3,5,3,10,0,1,0,0,1,0,2
"31",0,23,925,4,3,3,1,1,3,1,1,4,4,5,4,5,1,12,5,1,0,0,1,0,4
"38",0,22,417,0,0,0,5,4,0,4,4,5,2,4,5,5,4,96,98,1,0,1,0,0,2
"40",1,20,853,2,2,2,3,3,2,3,3,5,5,4,5,4,3,0,0,1,0,0,1,0,4
"44",1,25,624,2,4,2,1,5,2,5,5,4,2,5,3,5,5,12,18,1,0,1,0,0,4
"45",1,23,352,4,2,4,3,5,4,5,5,3,3,4,1,4,5,1,10,1,0,0,1,0,2
"52",0,26,695,3,3,3,4,2,3,2,2,1,2,4,3,4,2,0,9,1,0,0,1,0,4
"53",0,50,107,2,2,2,4,3,2,4,3,4,2,1,5,1,3,0,0,1,0,0,0,1,2
"55",1,41,374,4,4,4,3,3,4,3,3,4,5,4,3,5,3,31,31,1,0,1,0,0,2
"60",0,23,1440,5,0,5,4,4,0,3,4,4,5,4,3,5,4,0,0,1,0,1,0,0,1
"71",1,43,567,1,0,1,4,5,1,5,5,4,2,2,3,5,5,0,1,1,0,0,1,0,4
"75",0,40,696,3,3,3,4,5,3,5,5,1,1,3,3,3,5,0,13,1,0,1,0,0,4
"82",0,23,438,3,0,3,5,4,3,4,4,1,4,3,2,1,4,0,3,1,0,0,1,0,2
"90",1,20,277,1,1,1,3,3,1,3,3,3,5,3,2,3,3,4,6,1,0,1,0,0,2
"98",1,28,1258,4,5,5,3,2,5,2,2,3,5,5,3,4,2,0,0,1,0,1,0,0,1
"103",0,35,978,2,2,2,1,2,2,2,2,3,4,3,5,3,2,0,0,1,0,0,0,1,1
"104",0,39,227,3,3,3,3,5,3,5,5,3,4,5,4,4,5,0,0,1,0,1,0,0,2
"110",0,19,817,5,5,5,2,3,5,3,3,2,3,1,2,4,3,6,6,1,0,0,1,0,4
"111",1,18,216,3,4,3,4,4,3,4,4,2,1,4,2,3,4,2,7,1,0,1,0,0,2
"116",0,48,853,3,3,3,3,5,3,5,5,3,3,3,3,4,5,13,24,1,0,0,1,0,4
"119",1,26,2615,4,4,4,4,4,3,3,4,5,5,5,3,5,3,0,14,1,0,1,0,0,3
"123",0,37,96,2,2,2,1,2,2,2,2,5,4,4,5,5,2,0,0,1,0,1,0,0,2
"128",0,37,446,2,1,2,4,1,2,1,1,1,3,3,3,4,1,48,33,1,0,0,1,0,2
"129",0,21,362,1,3,1,4,4,1,4,4,3,4,4,4,4,4,0,0,1,0,0,1,0,2
"133",0,21,605,3,3,3,3,3,3,3,3,4,3,3,2,4,3,73,66,1,0,0,1,0,4
"134",0,25,763,2,2,2,3,1,2,3,1,2,1,4,1,3,1,0,0,1,0,0,1,0,4
"153",0,26,2583,1,3,1,4,3,1,2,3,1,1,2,1,4,3,0,1,1,0,1,0,0,3
"161",0,14,980,5,5,5,3,3,5,3,3,5,5,5,3,5,3,0,0,1,0,0,1,0,1
"170",1,28,599,4,4,4,4,2,4,2,2,3,5,5,5,5,2,53,54,1,0,1,0,0,4
"173",1,37,237,1,1,1,4,2,1,2,2,4,4,3,4,3,2,5,9,1,0,0,0,1,2
"177",0,22,201,4,0,4,1,2,4,2,2,5,5,5,3,5,2,21,24,1,0,1,0,0,2
"182",0,27,89,3,3,3,3,3,3,3,3,3,1,4,1,4,3,57,52,1,0,1,0,0,2
"184",0,44,406,2,2,2,3,3,2,3,3,5,5,5,3,4,3,14,5,1,0,1,0,0,2
"190",0,24,238,4,2,4,3,4,4,1,4,2,3,3,1,4,4,85,76,1,0,0,1,0,2
"200",0,29,867,3,3,3,1,4,3,4,4,3,1,3,4,2,4,0,0,1,0,0,1,0,4
"202",0,37,152,4,4,4,5,4,4,4,4,4,3,5,5,1,4,0,0,1,0,0,1,0,2
"209",1,21,377,5,0,5,1,4,5,4,4,1,1,5,5,2,4,0,4,1,0,0,1,0,2
"216",0,25,325,1,5,1,4,1,1,5,1,4,3,4,5,4,1,1,0,1,0,1,0,0,2
"217",0,29,781,4,4,4,5,4,4,4,4,5,5,5,4,4,4,0,0,1,0,1,0,0,4
"220",1,17,1747,5,5,5,4,4,5,4,4,4,5,4,5,5,4,1,0,1,0,1,0,0,1
"234",0,49,290,4,4,4,5,5,4,5,5,4,5,5,4,4,5,0,0,1,0,1,0,0,2
"241",0,42,304,4,2,4,3,2,4,4,2,2,1,4,4,3,2,0,0,1,0,0,1,0,2
"242",0,26,716,3,3,3,1,3,3,3,1,2,3,3,3,2,3,5,4,1,0,0,1,0,4
"244",1,20,296,5,5,5,3,3,5,3,3,3,5,5,3,4,3,0,0,1,0,1,0,0,2
"246",0,30,259,2,0,2,3,5,2,5,5,4,1,2,5,1,5,0,0,1,0,0,1,0,2
"251",0,23,224,5,4,5,3,3,5,3,3,3,5,4,5,4,3,9,21,1,0,1,0,0,2
"273",0,27,409,5,5,5,4,2,5,2,2,4,2,4,5,4,2,14,8,1,0,1,0,0,2
"290",0,50,166,4,4,4,4,1,4,1,1,4,4,4,3,4,1,0,0,1,0,1,0,0,2
"294",0,20,948,5,5,5,2,5,5,5,5,2,3,1,2,1,5,0,0,1,0,0,1,0,4
