"","satisfaction","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","cluster"
"8",1,1,"disloyal Customer",18,"Business travel","Eco",369,0,0,0,2,2,0,2,2,5,2,5,4,5,2,0,3,4
"15",0,0,"disloyal Customer",38,"Business travel","Eco",289,3,1,3,4,5,3,5,5,4,1,3,1,3,5,0,0,1
"16",0,0,"disloyal Customer",35,"Business travel","Eco",2442,3,3,3,1,3,1,4,2,3,3,2,4,5,4,0,6,1
"22",0,1,"disloyal Customer",35,"Business travel","Eco",109,3,3,3,3,1,3,4,1,3,3,2,3,3,1,0,0,3
"24",0,1,"disloyal Customer",23,"Business travel","Eco",460,3,0,3,5,3,3,3,3,4,4,5,3,5,3,10,0,3
"31",1,0,"disloyal Customer",23,"Business travel","Eco",925,4,3,3,1,1,3,1,1,4,4,5,4,5,1,12,5,3
"38",1,0,"disloyal Customer",22,"Business travel","Business",417,0,0,0,5,4,0,4,4,5,2,4,5,5,4,96,98,1
"40",0,1,"disloyal Customer",20,"Business travel","Eco",853,2,2,2,3,3,2,3,3,5,5,4,5,4,3,0,0,4
"44",0,1,"disloyal Customer",25,"Business travel","Business",624,2,4,2,1,5,2,5,5,4,2,5,3,5,5,12,18,1
"45",0,1,"disloyal Customer",23,"Business travel","Eco",352,4,2,4,3,5,4,5,5,3,3,4,1,4,5,1,10,2
"52",0,0,"disloyal Customer",26,"Business travel","Eco",695,3,3,3,4,2,3,2,2,1,2,4,3,4,2,0,9,3
"53",0,0,"disloyal Customer",50,"Business travel","Eco Plus",107,2,2,2,4,3,2,4,3,4,2,1,5,1,3,0,0,1
"55",1,1,"disloyal Customer",41,"Business travel","Business",374,4,4,4,3,3,4,3,3,4,5,4,3,5,3,31,31,2
"60",1,0,"disloyal Customer",23,"Business travel","Business",1440,5,0,5,4,4,0,3,4,4,5,4,3,5,4,0,0,2
"71",0,1,"disloyal Customer",43,"Business travel","Eco",567,1,0,1,4,5,1,5,5,4,2,2,3,5,5,0,1,1
"75",0,0,"disloyal Customer",40,"Business travel","Business",696,3,3,3,4,5,3,5,5,1,1,3,3,3,5,0,13,1
"82",0,0,"disloyal Customer",23,"Business travel","Eco",438,3,0,3,5,4,3,4,4,1,4,3,2,1,4,0,3,1
"90",0,1,"disloyal Customer",20,"Business travel","Business",277,1,1,1,3,3,1,3,3,3,5,3,2,3,3,4,6,4
"98",1,1,"disloyal Customer",28,"Business travel","Business",1258,4,5,5,3,2,5,2,2,3,5,5,3,4,2,0,0,3
"103",0,0,"disloyal Customer",35,"Business travel","Eco Plus",978,2,2,2,1,2,2,2,2,3,4,3,5,3,2,0,0,4
"104",0,0,"disloyal Customer",39,"Business travel","Business",227,3,3,3,3,5,3,5,5,3,4,5,4,4,5,0,0,2
"110",1,0,"disloyal Customer",19,"Business travel","Eco",817,5,5,5,2,3,5,3,3,2,3,1,2,4,3,6,6,3
"111",0,1,"disloyal Customer",18,"Business travel","Business",216,3,4,3,4,4,3,4,4,2,1,4,2,3,4,2,7,1
"116",0,0,"disloyal Customer",48,"Business travel","Eco",853,3,3,3,3,5,3,5,5,3,3,3,3,4,5,13,24,1
"119",1,1,"disloyal Customer",26,"Business travel","Business",2615,4,4,4,4,4,3,3,4,5,5,5,3,5,3,0,14,2
"123",0,0,"disloyal Customer",37,"Business travel","Business",96,2,2,2,1,2,2,2,2,5,4,4,5,5,2,0,0,4
"128",0,0,"disloyal Customer",37,"Business travel","Eco",446,2,1,2,4,1,2,1,1,1,3,3,3,4,1,48,33,4
"129",0,0,"disloyal Customer",21,"Business travel","Eco",362,1,3,1,4,4,1,4,4,3,4,4,4,4,4,0,0,1
"133",0,0,"disloyal Customer",21,"Business travel","Eco",605,3,3,3,3,3,3,3,3,4,3,3,2,4,3,73,66,3
"134",0,0,"disloyal Customer",25,"Business travel","Eco",763,2,2,2,3,1,2,3,1,2,1,4,1,3,1,0,0,4
"153",0,0,"disloyal Customer",26,"Business travel","Business",2583,1,3,1,4,3,1,2,3,1,1,2,1,4,3,0,1,4
"161",1,0,"disloyal Customer",14,"Business travel","Eco",980,5,5,5,3,3,5,3,3,5,5,5,3,5,3,0,0,2
"170",1,1,"disloyal Customer",28,"Business travel","Business",599,4,4,4,4,2,4,2,2,3,5,5,5,5,2,53,54,3
"173",0,1,"disloyal Customer",37,"Business travel","Eco Plus",237,1,1,1,4,2,1,2,2,4,4,3,4,3,2,5,9,4
"177",1,0,"disloyal Customer",22,"Business travel","Business",201,4,0,4,1,2,4,2,2,5,5,5,3,5,2,21,24,3
"182",0,0,"disloyal Customer",27,"Business travel","Business",89,3,3,3,3,3,3,3,3,3,1,4,1,4,3,57,52,3
"184",0,0,"disloyal Customer",44,"Business travel","Business",406,2,2,2,3,3,2,3,3,5,5,5,3,4,3,14,5,4
"190",0,0,"disloyal Customer",24,"Business travel","Eco",238,4,2,4,3,4,4,1,4,2,3,3,1,4,4,85,76,3
"200",0,0,"disloyal Customer",29,"Business travel","Eco",867,3,3,3,1,4,3,4,4,3,1,3,4,2,4,0,0,1
"202",0,0,"disloyal Customer",37,"Business travel","Eco",152,4,4,4,5,4,4,4,4,4,3,5,5,1,4,0,0,2
"209",1,1,"disloyal Customer",21,"Business travel","Eco",377,5,0,5,1,4,5,4,4,1,1,5,5,2,4,0,4,2
"216",0,0,"disloyal Customer",25,"Business travel","Business",325,1,5,1,4,1,1,5,1,4,3,4,5,4,1,1,0,4
"217",1,0,"disloyal Customer",29,"Business travel","Business",781,4,4,4,5,4,4,4,4,5,5,5,4,4,4,0,0,2
"220",1,1,"disloyal Customer",17,"Business travel","Business",1747,5,5,5,4,4,5,4,4,4,5,4,5,5,4,1,0,2
"234",1,0,"disloyal Customer",49,"Business travel","Business",290,4,4,4,5,5,4,5,5,4,5,5,4,4,5,0,0,2
"241",0,0,"disloyal Customer",42,"Business travel","Eco",304,4,2,4,3,2,4,4,2,2,1,4,4,3,2,0,0,3
"242",0,0,"disloyal Customer",26,"Business travel","Eco",716,3,3,3,1,3,3,3,1,2,3,3,3,2,3,5,4,3
"244",1,1,"disloyal Customer",20,"Business travel","Business",296,5,5,5,3,3,5,3,3,3,5,5,3,4,3,0,0,2
"246",0,0,"disloyal Customer",30,"Business travel","Eco",259,2,0,2,3,5,2,5,5,4,1,2,5,1,5,0,0,1
"251",1,0,"disloyal Customer",23,"Business travel","Business",224,5,4,5,3,3,5,3,3,3,5,4,5,4,3,9,21,2
"273",1,0,"disloyal Customer",27,"Business travel","Business",409,5,5,5,4,2,5,2,2,4,2,4,5,4,2,14,8,3
"290",0,0,"disloyal Customer",50,"Business travel","Business",166,4,4,4,4,1,4,1,1,4,4,4,3,4,1,0,0,3
"294",1,0,"disloyal Customer",20,"Business travel","Eco",948,5,5,5,2,5,5,5,5,2,3,1,2,1,5,0,0,2
"297",0,0,"disloyal Customer",44,"Business travel","Eco",388,3,1,3,4,3,3,2,3,4,3,4,1,3,3,84,77,3
"302",0,1,"disloyal Customer",18,"Business travel","Eco",163,3,5,3,3,5,3,5,5,3,2,2,3,3,5,0,1,1
"303",0,0,"disloyal Customer",38,"Business travel","Business",449,4,4,4,4,3,4,3,3,4,2,5,5,5,3,0,0,2
"304",0,0,"disloyal Customer",27,"Business travel","Business",531,2,2,2,1,1,2,1,1,5,5,4,4,5,1,0,0,4
"305",0,1,"disloyal Customer",26,"Business travel","Eco",254,2,5,2,4,2,2,2,2,5,4,5,3,2,2,0,0,4
"309",0,1,"disloyal Customer",8,"Business travel","Eco",1192,3,3,3,2,3,3,5,3,1,1,3,3,2,3,0,0,1
"318",0,0,"disloyal Customer",23,"Business travel","Eco",759,2,2,2,3,3,2,3,3,1,3,2,4,3,3,26,22,4
"319",1,0,"disloyal Customer",22,"Business travel","Eco",1262,5,5,5,2,1,5,1,1,5,5,4,4,4,1,0,0,3
"332",0,0,"disloyal Customer",37,"Business travel","Eco",409,3,0,3,3,5,3,5,5,2,4,4,3,1,5,0,0,1
"336",0,1,"disloyal Customer",38,"Business travel","Eco",1257,4,4,4,3,1,4,2,1,1,5,3,4,4,1,1,5,3
"342",0,0,"disloyal Customer",23,"Business travel","Eco",1075,3,3,3,5,2,3,2,2,3,5,5,3,5,2,41,32,3
"348",0,1,"disloyal Customer",21,"Business travel","Eco",978,3,3,3,4,4,3,4,4,3,5,3,2,3,4,6,0,1
"356",0,0,"disloyal Customer",21,"Business travel","Eco",448,2,0,1,3,2,1,2,2,1,5,4,1,2,2,0,0,4
"390",1,1,"disloyal Customer",22,"Business travel","Business",414,4,0,3,2,4,3,5,4,5,2,4,4,4,4,0,0,2
"397",0,0,"disloyal Customer",22,"Business travel","Eco",998,1,1,1,1,2,1,2,2,3,4,5,5,5,2,14,1,4
"404",0,1,"disloyal Customer",18,"Business travel","Eco",134,3,5,3,2,4,3,4,4,3,3,4,4,5,4,0,0,2
"405",1,0,"disloyal Customer",38,"Business travel","Business",204,4,4,4,4,2,4,2,2,3,5,5,5,4,2,0,0,3
"408",0,1,"disloyal Customer",27,"Business travel","Eco",667,2,3,2,2,5,2,5,5,4,5,2,3,3,5,0,0,1
"411",0,1,"disloyal Customer",26,"Business travel","Eco",403,3,4,3,3,3,3,3,3,2,5,3,4,3,3,0,0,3
"414",1,1,"disloyal Customer",27,"Business travel","Business",383,4,4,4,4,1,4,1,1,5,3,5,4,5,1,8,4,3
"418",1,1,"disloyal Customer",20,"Business travel","Eco",208,5,3,5,1,3,5,3,3,5,4,3,4,4,3,0,0,2
"419",0,0,"disloyal Customer",37,"Business travel","Business",247,1,0,0,3,3,0,3,3,3,4,5,4,5,3,0,0,4
"427",1,1,"disloyal Customer",54,"Business travel","Business",990,5,4,4,4,1,5,1,1,4,4,3,5,5,1,0,0,3
"438",0,1,"disloyal Customer",37,"Business travel","Eco",668,2,0,2,3,1,2,1,1,4,2,3,1,1,1,31,25,4
"442",1,0,"disloyal Customer",25,"Business travel","Business",870,5,0,5,1,3,5,3,3,5,4,4,4,5,3,0,2,2
"446",0,1,"disloyal Customer",30,"Business travel","Eco Plus",2521,2,2,2,5,5,2,5,5,3,2,2,5,5,5,0,0,1
"448",0,0,"disloyal Customer",34,"Business travel","Eco",306,1,4,2,3,2,2,2,2,2,3,4,1,4,2,37,39,4
"453",0,0,"disloyal Customer",25,"Business travel","Eco",1120,3,3,3,3,5,3,5,5,4,3,4,2,4,5,5,12,2
"460",0,0,"disloyal Customer",47,"Business travel","Eco Plus",448,2,1,1,4,1,2,1,1,5,2,1,1,2,1,0,0,4
"471",0,0,"disloyal Customer",36,"Business travel","Eco",742,2,3,3,4,5,2,5,5,3,1,3,4,4,5,0,0,1
"487",0,1,"disloyal Customer",36,"Business travel","Eco",158,3,0,3,1,5,3,1,5,3,4,1,4,1,5,0,17,1
"489",0,1,"disloyal Customer",9,"Business travel","Eco",1013,3,3,3,3,3,3,3,3,2,3,4,2,3,3,0,11,3
"492",0,0,"disloyal Customer",30,"Business travel","Eco",634,3,2,3,3,3,4,4,4,5,3,4,4,2,4,141,150,2
"498",1,1,"disloyal Customer",25,"Business travel","Eco",261,0,3,0,3,4,0,4,4,4,3,5,1,4,4,2,3,1
"499",1,1,"disloyal Customer",17,"Business travel","Business",1009,5,4,5,3,1,5,1,1,4,4,5,5,4,1,41,37,3
"505",0,0,"disloyal Customer",25,"Business travel","Eco",950,2,2,2,2,4,2,4,4,4,4,2,1,2,4,0,0,1
"512",0,1,"disloyal Customer",19,"Business travel","Eco",283,4,1,4,4,1,4,1,1,1,2,3,2,4,1,22,19,3
"522",1,1,"disloyal Customer",38,"Business travel","Business",216,4,4,4,4,4,4,4,4,2,4,4,2,2,4,6,12,2
"524",0,0,"disloyal Customer",33,"Business travel","Eco",547,1,4,1,3,2,1,2,2,1,5,4,4,4,2,0,0,4
"530",1,0,"disloyal Customer",27,"Business travel","Business",1280,4,4,4,4,4,4,4,4,5,4,3,5,4,4,21,4,2
"542",1,1,"disloyal Customer",22,"Business travel","Business",1009,0,0,0,4,4,0,4,4,4,3,5,4,4,4,95,84,1
"546",0,1,"disloyal Customer",20,"Business travel","Eco",377,2,4,2,4,4,2,4,4,1,1,3,2,4,4,108,95,1
"563",0,1,"disloyal Customer",22,"Business travel","Eco",925,3,3,3,4,1,3,1,1,3,4,3,4,3,1,0,0,3
"566",0,0,"disloyal Customer",22,"Business travel","Eco",533,2,0,2,4,3,2,2,3,2,4,3,4,3,3,30,27,4
"570",0,0,"disloyal Customer",79,"Business travel","Eco",269,2,2,2,4,5,2,3,5,2,3,3,1,4,5,0,0,1
"573",0,0,"disloyal Customer",49,"Business travel","Business",760,1,1,1,2,3,1,3,3,5,4,4,5,5,3,0,0,4
"580",0,0,"disloyal Customer",23,"Business travel","Eco",964,4,3,3,4,3,3,3,3,1,3,4,1,4,3,0,0,3
"586",1,1,"disloyal Customer",48,"Business travel","Business",641,5,5,5,1,5,5,5,5,4,2,4,4,5,5,0,0,2
"593",0,0,"disloyal Customer",25,"Business travel","Eco",399,3,0,2,4,1,2,1,1,3,4,3,4,5,1,0,0,4
"597",0,1,"disloyal Customer",27,"Business travel","Business",1444,4,4,4,4,5,4,5,5,4,5,4,3,4,5,7,1,2
"598",0,1,"disloyal Customer",39,"Business travel","Business",817,3,3,3,3,4,3,4,4,4,3,4,3,3,4,0,0,2
"600",0,0,"disloyal Customer",36,"Business travel","Eco",624,2,2,2,4,5,2,3,5,2,1,3,2,3,5,0,15,1
"604",0,1,"disloyal Customer",30,"Business travel","Eco Plus",944,4,4,4,3,4,4,4,4,3,2,3,3,4,4,0,0,2
"610",0,1,"disloyal Customer",29,"Business travel","Eco",122,2,2,2,3,2,2,2,2,1,3,4,1,3,2,0,0,4
"612",0,0,"disloyal Customer",33,"Business travel","Eco",328,2,0,2,3,2,2,2,2,2,3,5,2,3,2,1,6,4
"615",1,1,"disloyal Customer",24,"Business travel","Business",432,5,5,5,3,3,5,3,3,3,2,5,4,4,3,0,0,2
"616",0,1,"disloyal Customer",44,"Business travel","Eco",109,3,1,3,3,3,3,3,3,3,4,4,4,3,3,0,0,3
"622",0,0,"disloyal Customer",25,"Business travel","Eco",1205,1,1,1,3,3,1,3,3,2,3,3,4,4,3,17,16,4
"623",0,0,"disloyal Customer",29,"Business travel","Eco",941,1,1,1,4,3,1,3,3,2,1,2,1,4,3,39,24,4
"628",0,0,"disloyal Customer",22,"Business travel","Eco",280,1,5,1,2,4,1,4,4,3,2,4,4,4,4,0,0,1
"635",0,1,"disloyal Customer",34,"Personal Travel","Eco",789,2,5,2,2,5,2,1,5,3,5,5,4,5,5,0,0,2
"639",0,1,"disloyal Customer",23,"Business travel","Eco",522,2,3,2,4,5,2,5,5,2,4,3,3,4,5,23,13,1
"641",1,0,"disloyal Customer",27,"Business travel","Business",581,5,5,5,4,2,5,1,2,3,4,5,4,4,2,0,0,3
"644",0,1,"disloyal Customer",26,"Business travel","Eco",620,4,0,4,1,2,4,2,2,1,5,3,2,1,2,0,0,3
"649",0,0,"disloyal Customer",15,"Business travel","Eco",239,3,2,2,2,2,2,4,2,3,5,3,3,3,2,0,0,4
"688",0,1,"disloyal Customer",32,"Business travel","Eco",300,3,5,3,3,1,3,1,1,2,4,1,2,1,1,69,61,3
"695",0,1,"disloyal Customer",22,"Business travel","Eco",733,3,3,3,3,3,3,3,3,2,2,3,3,4,3,42,42,3
"698",0,0,"disloyal Customer",20,"Business travel","Eco",663,1,0,1,3,3,1,4,3,2,1,4,2,4,3,13,9,4
"711",1,1,"disloyal Customer",25,"Business travel","Eco",1264,5,5,5,3,2,5,2,2,4,3,3,4,4,2,3,0,3
"713",0,0,"disloyal Customer",32,"Business travel","Eco",531,3,0,4,4,3,4,3,3,1,1,5,2,4,3,0,0,3
"718",0,1,"disloyal Customer",55,"Business travel","Business",404,1,1,1,2,1,5,5,4,5,5,4,5,4,5,137,140,1
"727",0,1,"disloyal Customer",23,"Business travel","Eco",451,3,2,3,4,1,3,1,1,2,4,4,2,4,1,52,55,3
"732",0,1,"disloyal Customer",35,"Business travel","Business",231,3,3,3,4,3,2,2,1,3,3,3,2,3,2,156,156,3
"735",0,1,"disloyal Customer",23,"Business travel","Eco",236,1,0,0,3,0,3,3,5,3,5,3,3,1,3,61,148,4
"737",1,0,"disloyal Customer",44,"Business travel","Business",731,5,5,5,5,1,5,1,1,3,5,5,3,5,1,0,5,3
"743",0,0,"disloyal Customer",44,"Business travel","Business",1744,4,4,4,2,4,4,4,4,5,2,4,3,5,4,0,0,2
"748",1,1,"disloyal Customer",22,"Business travel","Eco",341,5,0,5,3,2,5,2,2,3,3,3,2,5,2,23,16,3
"750",0,1,"disloyal Customer",36,"Business travel","Eco",431,3,2,3,3,3,3,3,3,2,3,4,1,3,3,0,0,3
"762",0,0,"disloyal Customer",21,"Business travel","Eco",577,1,1,1,3,3,1,3,3,4,5,3,3,4,3,0,0,4
"766",0,1,"disloyal Customer",30,"Business travel","Business",725,1,1,1,4,5,1,5,5,3,3,4,3,5,5,5,0,1
"769",0,0,"disloyal Customer",38,"Business travel","Business",1276,3,2,2,1,3,2,3,3,4,4,5,3,5,3,0,5,4
"770",0,0,"disloyal Customer",39,"Business travel","Business",2521,3,3,3,3,3,3,3,3,5,4,4,4,5,3,0,0,2
"778",0,0,"disloyal Customer",41,"Business travel","Business",358,3,3,3,3,4,3,2,4,3,1,3,2,1,4,0,5,1
"787",0,1,"disloyal Customer",41,"Business travel","Eco",304,3,1,3,3,5,3,5,5,1,4,4,4,3,5,4,0,1
"788",1,1,"disloyal Customer",26,"Business travel","Business",641,4,4,4,4,4,4,4,4,3,2,5,4,4,4,0,20,2
"795",0,1,"disloyal Customer",20,"Business travel","Eco",820,4,4,4,5,5,4,3,5,4,2,2,2,3,5,0,0,2
"797",0,1,"disloyal Customer",25,"Business travel","Business",523,2,0,2,3,4,2,4,4,4,3,5,4,4,4,0,0,1
"799",0,0,"disloyal Customer",18,"Business travel","Eco",2457,3,4,4,3,2,3,4,2,3,4,3,1,3,2,0,4,3
"803",0,0,"disloyal Customer",39,"Business travel","Eco",143,1,0,1,4,4,1,4,4,1,3,3,2,3,4,0,0,1
"806",1,1,"disloyal Customer",25,"Business travel","Business",930,5,0,5,2,1,5,1,1,5,5,4,5,5,1,14,0,3
"807",1,0,"disloyal Customer",55,"Business travel","Business",220,5,5,5,4,5,5,4,5,3,4,5,4,4,5,0,0,2
"821",1,1,"disloyal Customer",23,"Business travel","Eco",657,4,4,4,3,3,4,3,3,4,1,2,2,4,3,0,0,3
"822",0,1,"disloyal Customer",54,"Business travel","Eco",1237,3,3,3,3,1,3,1,1,3,2,3,3,3,1,0,11,3
"834",0,0,"disloyal Customer",39,"Business travel","Business",328,2,2,2,3,2,2,2,2,3,3,4,3,4,2,16,21,4
"844",0,1,"disloyal Customer",16,"Business travel","Eco",174,3,2,3,3,4,3,4,4,2,4,4,4,3,4,0,14,1
"867",0,0,"disloyal Customer",40,"Business travel","Business",304,3,3,3,1,4,3,4,4,5,4,4,5,5,4,22,13,2
"870",0,0,"disloyal Customer",24,"Business travel","Business",1076,2,2,2,2,1,2,1,1,2,2,2,2,3,1,118,96,4
